name,slug,description,category,client_side_only,effort,utility,alternatives,reach,priority_balanced
LED Resistor Calculator,led-resistor-calculator,Work out the current-limiting resistor for an LED from supply and forward voltage,Hardware,Yes,A+,B+,C+,B+,3.18
Voltage Divider Calculator,voltage-divider,Work out output voltage or resistor values for a two-resistor divider,Hardware,Yes,A+,B,C+,B,3.02
555 Timer Calculator,555-timer-calculator,"Astable and monostable frequency, duty cycle and component values",Hardware,Yes,A,B,C+,B,2.96
Capacitor Code Decoder,capacitor-code-decoder,Decode 3-digit and letter capacitor codes into capacitance and tolerance,Hardware,Yes,A,B-,B,B-,3.01
PCB Trace Width Calculator,pcb-trace-width,"IPC-2221 trace width for a target current, copper weight and temperature rise",Hardware,Yes,A-,B,B,B-,3.06
Antenna Length Calculator,antenna-length-calculator,Quarter-wave and dipole antenna lengths for any frequency,RF,Yes,A,B+,B,B+,3.32
Path Loss and Link Budget,path-loss-link-budget,Free space path loss and full link budget from transmit power to receiver,RF,Yes,A-,B+,B,B-,3.17
Fresnel Zone Calculator,fresnel-zone,"Fresnel zone radius and clearance for a wireless link, with a visual profile",RF,Yes,A-,B,B,B-,3.06
VSWR and Return Loss Converter,vswr-return-loss,"Convert between VSWR, return loss and reflection coefficient",RF,Yes,A,B,B+,B-,3.21
"dBm, Watts and Volts Converter",dbm-watts-volts-converter,"Convert RF power between dBm, watts and volts across common impedances",RF,Yes,A+,B,C+,B,3.02
Coax Cable Loss Calculator,coax-cable-loss,"Signal loss over a coax run by cable type, length and frequency",RF,Yes,A-,B,B,B-,3.06
Wavelength and Frequency Converter,wavelength-frequency-converter,Convert between frequency and wavelength for any part of the spectrum,RF,Yes,A+,B,C,B,2.94
LC Resonance Calculator,lc-resonance,Resonant frequency of an LC circuit from inductance and capacitance,RF,Yes,A,B-,B,C+,2.95
Chemical Equation Balancer,chemical-equation-balancer,Balance any chemical equation automatically and show the working,Chemistry,Yes,B,A-,B,A-,3.33
Stoichiometry Calculator,stoichiometry-calculator,"Mole ratios, limiting reactant and theoretical yield from a balanced equation",Chemistry,Yes,B,A-,B,A-,3.33
Half-Life and Decay Calculator,half-life-decay,"Remaining quantity over time for any half-life, with a decay curve",Chemistry,Yes,A-,B+,B,B+,3.26
Dilution Calculator,dilution-calculator,Solve C1V1 equals C2V2 for any missing concentration or volume,Chemistry,Yes,A,B+,C+,B+,3.12
Molarity and Solution Prep,molarity-solution-prep,"Work out moles, volume or concentration, with a step-by-step prep recipe",Chemistry,Yes,A-,B+,B,B,3.21
pH and pOH Calculator,ph-poh-calculator,"Convert between pH, pOH, H+ and OH- concentration, including weak acids",Chemistry,Yes,A-,A-,C+,A-,3.26
Buffer Calculator,buffer-calculator,Henderson-Hasselbalch buffer pH and capacity from acid and conjugate base,Chemistry,Yes,B-,B,B,B-,2.86
Electron Configuration Viewer,electron-configuration,Aufbau order electron configuration and orbital diagram for any element,Chemistry,Yes,A-,B+,B,B+,3.26
Isotope Abundance Lookup,isotope-abundance-lookup,"Natural isotopes, abundance and atomic mass contribution for any element",Chemistry,Yes,A-,B,B,C+,3.0
Empirical Formula Calculator,empirical-formula-calculator,Turn mass percent composition into an empirical and molecular formula,Chemistry,Yes,A-,B,B,B-,3.06
Moon Phase Calculator,moon-phase-calculator,"Today's moon phase and illumination, animated across any date range",Astronomy,Yes,B-,A-,C+,A-,3.06
Planet Positions and Rise/Set,planet-positions-rise-set,"Rise, set and sky position for the naked-eye planets from any location",Astronomy,Yes,C+,B+,B,B,2.94
Orbital Mechanics Calculator,orbital-mechanics-calculator,"Hohmann transfer, escape velocity and orbital period, with a transfer diagram",Astronomy,Yes,B,B,A-,B-,3.12
Julian Date Converter,julian-date-converter,Convert between calendar dates and Julian and modified Julian dates,Astronomy,Yes,A,B-,B,C+,2.95
Magnitude Calculator,magnitude-calculator,Convert between apparent and absolute magnitude using the distance modulus,Astronomy,Yes,A-,B-,B,C+,2.89
Projectile Motion Simulator,projectile-motion-simulator,"Animated trajectory from launch angle, speed, gravity and drag, with range and max height",Physics,Yes,B,A-,B,A-,3.33
Optics Ray Diagram,optics-ray-diagram,"Interactive ray diagram for thin lenses and mirrors, built on Snell's law",Physics,Yes,B,B+,B,B+,3.12
Doppler Effect Visualizer,doppler-effect-visualizer,Animated wavefronts and pitch shift for a moving sound source,Physics,Yes,B,B,B+,B,3.06
Orbital Plot Visualizer,orbital-plot-visualizer,"Animated two-body orbit from eccentricity and semi-major axis, per Kepler's laws",Physics,Yes,B,B,B+,B-,3.01
"Wind Chill, Heat Index and Dew Point",wind-chill-heat-index-calculator,"NWS formulas for wind chill, heat index and dew point in one calculator",Weather & Earth,Yes,A-,A-,C+,A-,3.26
Pressure Altitude Calculator,pressure-altitude-calculator,"Pressure and density altitude from field elevation, altimeter setting and temperature",Weather & Earth,Yes,A-,B+,B,B,3.21
Earthquake Magnitude and Energy,earthquake-magnitude-energy-calculator,Convert between earthquake magnitude scales and the energy they release,Weather & Earth,Yes,A-,B,B,B-,3.06
Tide and Moon Illumination Calculator,tide-moon-illumination-calculator,Approximate tide timing and a lunar illumination table for any date range,Weather & Earth,Yes,B,B,B,B-,2.92
Minecraft Nether Portal Calculator,minecraft-nether-portal-calculator,Overworld and Nether portal linking coordinates using the 1:8 ratio,Minecraft,Yes,A-,A-,B,A-,3.47
Minecraft Pixel Circle Generator,minecraft-pixel-circle-generator,"Exportable block-grid circles and arcs for builds, any radius",Minecraft,Yes,A-,B+,C+,B+,3.06
Minecraft MOTD Color Code Generator,minecraft-motd-color-code-generator,Build a formatted server MOTD with live color and formatting code preview,Minecraft,Yes,A+,B+,C+,B+,3.18
Minecraft NBT Viewer,minecraft-nbt-viewer,"Browse and edit NBT data from a world save or item, as a tree",Minecraft,Yes,B,B+,B,B,3.07
Minecraft Beacon Calculator,minecraft-beacon-calculator,Pyramid layer requirements and effect range for any beacon size,Minecraft,Yes,A-,B+,C+,B+,3.06
Minecraft Tick Time Converter,minecraft-tick-time-converter,"Convert between game ticks, redstone ticks and real time",Minecraft,Yes,A+,B,B,B-,3.18
Typing Speed Test,typing-speed-test,Words per minute and accuracy against generated or custom passages,Testers,Yes,B-,A-,D+,A,2.82
Reaction Time Test,reaction-time-test,"Measure visual reaction time across repeated trials, with a distribution chart",Testers,Yes,A-,B+,C,A-,3.03
Click Speed Test,click-speed-test,"Clicks per second over a fixed window, with a running best score",Testers,Yes,A+,B,D+,A-,2.84
Sudoku Generator and Solver,sudoku-generator-solver,"Generate puzzles with a unique solution at any difficulty, or solve one you paste in",Generators,Yes,B,B+,C+,A-,2.98
Maze Generator,maze-generator,"Generate printable mazes at any size, with an optional solution overlay",Generators,Yes,B-,B,B,B,2.91
Word Search Generator,word-search-generator,"Build a printable word search from your own word list, any grid size",Generators,Yes,B-,B+,B,B+,3.06
Meta Tags and OG Preview,meta-tags-og-preview,Edit meta tags and preview how the page card renders on social platforms,Dev,Yes,A-,B+,B,B+,3.26
Robots.txt Tester,robots-txt-tester,"Test a URL against robots.txt rules, or build a robots.txt from scratch",Dev,Yes,A-,B,B+,B,3.19
Markdown Preview,markdown-preview,"Live rendered preview of Markdown as you type, with export to HTML",Dev,Yes,A,B+,C,B+,3.03
HTML Live Preview,html-live-preview,"Sandboxed live preview of HTML, CSS and JS as you edit, no server round trip",Dev,Yes,A-,B+,C+,B+,3.06
Sitemap Inspector,sitemap-inspector,"Parse an XML sitemap, validate every URL and show coverage stats",Dev,Yes,A-,B,B,B-,3.06
Code Formatter,code-formatter,"Format JavaScript, CSS, HTML and more with Prettier, entirely locally",Dev,Yes,B,A-,C+,A-,3.12
Minifier,minifier,"Minify JavaScript, CSS and HTML and see the size saved",Dev,Yes,B-,B+,C,B+,2.77
GraphQL Formatter,graphql-formatter,Pretty print and validate GraphQL queries and schemas,Dev,Yes,A-,B-,B,C+,2.89
Dotenv to JSON,dotenv-to-json,Convert between .env files and JSON in either direction,Dev,Yes,A+,B-,B+,C+,3.1
.gitignore Generator,gitignore-generator,Combine language and tool templates into one .gitignore file,Dev,Yes,A-,B+,C,B+,2.97
Readability Score,readability-score,Flesch-Kincaid and other readability scores for pasted text,Text,Yes,A-,B+,C+,B+,3.06
Word Frequency Counter,word-frequency-counter,Count and rank word and phrase frequency across pasted text,Text,Yes,A,B,C,B,2.88
Text Cleaner,text-cleaner,"Normalize whitespace, smart quotes and line endings in pasted text",Text,Yes,A-,B,C+,B-,2.86
Find and Replace (Regex),find-and-replace-regex,Find and replace across pasted text with regex and live match preview,Text,Yes,A-,B+,C+,B,3.01
Directory Tree Generator,directory-tree-generator,Turn a dropped folder or pasted file list into an ASCII directory tree,Files,Yes,A-,B,B,B-,3.06
Chmod Calculator,chmod-calculator,"Convert Unix file permissions between checkboxes, octal and symbolic form",Homelab,Yes,A+,B,C+,B,3.02
HTTP Status Codes,http-status-codes,Searchable reference for every HTTP status code and what it means,Dev,Yes,A+,B+,C,A-,3.15
Well-Known Ports,well-known-ports,Searchable reference for well-known and registered TCP and UDP ports,Network,Yes,A+,B,C+,B+,3.07
MAC Address OUI Lookup,mac-address-oui-lookup,"Look up the vendor behind a MAC address prefix, or generate a random one",Network,Yes,A-,B,B,B,3.11
Voice Recorder,voice-recorder,"Record from the microphone with a live waveform, trim and export",Audio,Yes,A-,B+,C+,B+,3.06
Text to Speech,text-to-speech,"Read text aloud with the browser's built-in voices, and export it as audio",Audio,Yes,A-,B+,C,B+,2.97
Audio Extractor,audio-extractor,Pull the audio track out of a video file in the format you choose,Media,Yes,B-,B+,B,B+,3.06
Video Speed and Reverse,video-speed-reverse,"Change video playback speed or reverse it, re-encoded locally",Media,Yes,B,B,B,B-,2.92
Sound Level Meter,sound-level-meter,"Live decibel readout from the microphone, with a running peak and average",Audio,Yes,A-,B,B+,B,3.19
Audio Joiner,audio-joiner,"Concatenate multiple audio files into one, with crossfade options",Audio,Yes,A-,B,C+,B-,2.86
Compound Interest Calculator,compound-interest-calculator,"Growth of a balance over time with compounding, contributions and a chart",Finance,Yes,A,A-,C+,A-,3.32
Loan Amortization Calculator,loan-amortization-calculator,"Full payment schedule and interest paid over a loan's life, with a chart",Finance,Yes,A-,A-,C+,A-,3.26
Statistics Calculator,statistics-calculator,"Mean, median, mode, standard deviation and regression from pasted data",Math,Yes,A-,B+,C+,B+,3.06
Function Grapher,function-grapher,"Plot and compare multiple functions with pan, zoom and trace",Math,Yes,B-,B+,C,A-,2.84
Prime Factorization Calculator,prime-factorization-calculator,"Break any number into its prime factors, with GCD and LCM",Math,Yes,A+,B-,C,B,2.83
Percentage Calculator,percentage-calculator,"Every common percentage question in one calculator, change included",Math,Yes,A+,B+,C-,A,3.11
Punnett Square Calculator,punnett-square-calculator,Monohybrid and dihybrid cross grids from parent genotypes,Biology,Yes,A-,B,B,B,3.11
DNA/RNA Translator,dna-rna-translator,"Transcribe and translate a sequence using the codon table, with reverse complement",Biology,Yes,A-,B+,B,B,3.21
Population Growth Calculator,population-growth-calculator,"Exponential and logistic population growth over time, with a chart",Biology,Yes,A-,B-,B,C+,2.89
MIDI Inspector,midi-inspector,"Read a .mid file event by event, or watch a live MIDI device, all in your browser",Dev,Yes,B+,C+,B+,C+,2.85
